id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47080348,Modern Home in Sandy Bay - Sleeps 8 Guests,380507198,Penny,,Hobart,-42.89261,147.33041,Entire home/apt,255,2,100,2023-03-05,3.75,1,150,57,PLN-18-790
47081756,THE WHALER'S DECK - Bicheno,70084453,LJ Hooker,,Glamorgan/Spring Bay,-41.87298,148.28875,Entire home/apt,397,2,77,2023-02-22,2.89,21,316,32,DA 2020 / 289
47105136,"Wallabies, parrots, farm animals",50622618,Liane,,Break O'Day,-41.36769,148.27196,Entire home/apt,150,1,246,2023-03-07,9.23,1,299,139,BA 148-19
47123557,Little White in Port,380745499,Nichola,,Dorset,-41.0053,147.39018,Entire home/apt,250,3,8,2023-01-12,0.32,1,38,1,2020/136 67645 3049061
47143639,Hawley Beach Haven,202610637,Michelle,,Latrobe,-41.14959,146.53861,Entire home/apt,209,2,7,2023-01-28,2.84,1,162,7,DA 03/2021
47156784,#Maker’s Rest unique art inspired holiday home,2741876,Svetla,,Burnie,-41.05513,145.90002,Entire home/apt,271,1,8,2023-02-24,0.88,2,331,8,DA 2021/135
47162655,Sandpipers Retreat,25626715,Verina,,Glamorgan/Spring Bay,-42.10661,148.24452,Entire home/apt,334,2,50,2022-12-23,1.94,80,304,23,DA 2016/00022
47166938,"Bay view single room in shared house, Rosny Hill",104023114,Jason,,Clarence,-42.86937,147.36056,Private room,70,2,31,2023-03-05,1.17,1,2,19,Exempt: This listing falls under the 'home sharing' exemption
47181862,"“ Flounder Pool Cottage”, Beach side, Hawley Beach",89226617,Mark,,Latrobe,-41.15205,146.54046,Entire home/apt,182,2,20,2022-12-30,0.77,1,81,9,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
47226259,Refresh109 Deluxe King Room with Balcony,381403163,Mark,,Launceston,-41.43599,147.13537,Private room,200,1,22,2023-01-03,0.83,5,349,5,"Exempt: This listing is a hotel, motel, or caravan park"
47256920,Colchis Creek Townhouse,205775100,Crystal,,Break O'Day,-41.31987,148.25294,Entire home/apt,141,2,169,2023-03-08,6.33,1,269,75,DA310-20
47279428,Bay Studio Apartment 2 (Access Via 48 Steps),237994667,Carmel,,Hobart,-42.91255,147.33699,Entire home/apt,120,2,11,2023-02-11,0.42,2,252,2,Exempt: This listing falls under the 'home sharing' exemption
47281296,Refresh109 Deluxe Queen Room,381403163,Mark,,Launceston,-41.43753,147.13551,Private room,179,1,32,2023-02-17,1.22,5,355,17,"Exempt: This listing is a hotel, motel, or caravan park"
47293604,Derwent view unit,226252850,Margaret And John,,Kingborough,-42.98611,147.31713,Entire home/apt,100,2,0,,,2,0,0,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
47299156,Beatnik Cottage,11794602,Kym,,Huon Valley,-43.16471,147.08616,Entire home/apt,137,2,86,2023-01-29,3.28,1,317,47,Exempt: This listing falls under the 'home sharing' exemption
47305182,Refresh109 Superior Twin Room,381403163,Mark,,Launceston,-41.43824,147.13441,Private room,169,1,26,2023-01-25,0.98,5,353,7,"Exempt: This listing is a hotel, motel, or caravan park"
47315090,Hand Built Eco-luxe Cottage in Short Walks Capital,228341105,Sarah,,Meander Valley,-41.66155,146.60513,Entire home/apt,587,1,57,2023-02-24,2.15,1,236,24,Exempt: This listing falls under the 'home sharing' exemption
47337844,Kunzea at Freycinet,25626715,Verina,,Glamorgan/Spring Bay,-42.12243,148.28874,Entire home/apt,281,1,77,2023-02-28,3.12,80,336,35,DA2016/00055
47397499,The Stand Alone,10937076,Melinda,,Tasman,-43.00567,147.93698,Entire home/apt,300,1,273,2023-02-19,10.57,1,330,110,Exempt: This listing falls under the 'home sharing' exemption
47427419,The Postmaster Inn Bed and Breakfast Smithton Rm3,20203955,Ingrid,,Circular Head,-40.84208,145.12501,Private room,160,1,10,2022-05-23,0.40,3,348,1,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
47431798,Sea-Cret Getaway,16836695,Suite Space Co,,Glamorgan/Spring Bay,-41.87088,148.2859,Entire home/apt,308,1,35,2023-02-11,1.35,33,344,13,DA2020/278
47433235,FANTASTIC MODERN HOUSE WITH ALL YOU REQUIRE!!,176442441,Bronte-Lee,,Launceston,-41.41602,147.14222,Entire home/apt,232,2,59,2023-03-07,2.28,1,234,41,DA1022/21
47438337,Eagles Rest,25626715,Verina,,Glamorgan/Spring Bay,-42.10635,148.2464,Entire home/apt,265,1,46,2023-02-27,1.78,80,313,15,DA2020/279
47448536,Greens Beach Magic,92557519,Donna,,West Tamar,-41.0864,146.74331,Entire home/apt,150,2,25,2023-01-27,0.97,59,161,13,PA2020457
47457314,Mayfield Farm Cottage - Luxurious and Modern,383102254,Lynette,,Kentish,-41.42078,146.2144,Entire home/apt,265,2,270,2023-03-06,10.34,1,308,128,2020/01
47461140,Garden Oasis,19727116,Peter,,Hobart,-42.88829,147.33089,Entire home/apt,300,3,69,2023-03-05,2.88,2,303,44,PLN-11-01409-01
47463053,"Entire Place, Private Entrance, Breakfast included",101310690,Mark,,Clarence,-42.8816491,147.4222401,Entire home/apt,231,1,13,2023-02-25,1.93,2,157,13,Exempt: This listing falls under the 'home sharing' exemption
47477024,Bischoff Hotel - Laurel Ensuite Room,225157408,Bischoff,,Waratah/Wynyard,-41.44189,145.52575,Private room,179,1,14,2023-02-02,0.55,6,324,6,"Exempt: This listing is a hotel, motel, or caravan park"
